Manhole_Id,Wire_Type,Duct_Bank_Id,Duct_Id,Secondary Wires Type,Service Type,"No.Conductors","Ties with Cablesin Cell",Limiter,Amp Reading,"Cable TempReading","Cable/JointCondition",Fireproofing
779390-566883,Secondary Wire,04W02X02,01T02W,Secondary Wire 4 / 0 BC,Main,,No,No,,65,Cable Good,No
779390-566883,Secondary Wire,04W02X02,01T02W,Secondary Wire 250 RN,Main,1,No,No,38,65,Cable Good,No
779390-566883,Secondary Wire,04W02X02,01T02W,Secondary Wire 250 RN,Main,1,No,No,35,65,Cable Good,No
779390-566883,Secondary Wire,04W02X02,01T02W,Secondary Wire 250 RN,Main,1,No,No,31,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,01T01W,Secondary Wire 4 / 0 BC,Main,,No,No,,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,01T01W,Secondary Wire 250 RN,Main,1,No,No,36,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,01T01W,Secondary Wire 250 RN,Main,1,No,No,29,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,01T01W,Secondary Wire 250 RN,Main,1,No,No,38,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,01T02W,Secondary Wire 4 / 0 BC,Main,,No,No,,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,01T02W,Secondary Wire 250 RN,Main,1,No,No,31,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,01T02W,Secondary Wire 250 RN,Main,1,No,No,27,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,01T02W,Secondary Wire 250 RN,Main,1,No,No,36,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,02T01W,Secondary Wire 4 / 0 BC,Main,,No,No,,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,02T01W,Secondary Wire 250 RN,Main,1,No,No,38,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,02T01W,Secondary Wire 250 RN,Main,1,No,No,31,65,Cable Good,No
779390-566883,Secondary Wire,06W02X03,02T01W,Secondary Wire 250 RN,Main,1,No,No,37,65,Cable Good,No
